         19185552 function calls (19185235 primitive calls) in 79.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.030    0.030 python_parser.py:246(read)
     6968    0.023    0.000    0.028    0.000 _methods.py:76(_count_reduce_items)
   112515    0.027    0.000    0.027    0.000 {built-in method numpy.asarray}
     6968    0.010    0.000    0.024    0.000 contextlib.py:299(helper)
     6968    0.008    0.000    0.023    0.000 contextlib.py:141(__exit__)
     6968    0.006    0.000    0.021    0.000 contextlib.py:132(__enter__)
        1    0.004    0.004    0.021    0.021 python_parser.py:1087(_get_lines)
    13936    0.009    0.000    0.020    0.000 _ufunc_config.py:458(_no_nep50_warning)
    77055    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
   112500    0.017    0.000    0.017    0.000 _linalg.py:2562(_norm_dispatcher)
    10525    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
     7501    0.003    0.000    0.015    0.000 python_parser.py:789(_next_iter_line)
     6968    0.011    0.000    0.014    0.000 contextlib.py:104(__init__)
     3475    0.003    0.000    0.013    0.000 _function_base_impl.py:897(copy)
     3476    0.011    0.000    0.011    0.000 {built-in method numpy.array}
     7501    0.005    0.000    0.009    0.000 python_parser.py:233(_read)
        1    0.000    0.000    0.007    0.007 python_parser.py:336(_convert_data)
        1    0.000    0.000    0.007    0.007 base_parser.py:514(_convert_to_ndarrays)
        2    0.006    0.003    0.007    0.003 base_parser.py:670(_infer_types)
     6968    0.006    0.000    0.006    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     6968    0.005    0.000    0.005    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
22986/22968    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     6968    0.003    0.000    0.003    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
     7500    0.003    0.000    0.003    0.000 {method 'split' of 're.Pattern' objects}
        4    0.002    0.000    0.003    0.001 {built-in method builtins.print}
        1    0.001    0.001    0.003    0.003 python_parser.py:1001(_rows_to_cols)
     6952    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     4172    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       47    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 readers.py:1575(__init__)
     6969    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.002    0.002 readers.py:1848(_make_engine)
        1    0.000    0.000    0.002    0.002 frame.py:694(__init__)
        1    0.000    0.000    0.002    0.002 construction.py:423(dict_to_mgr)
        1    0.000    0.000    0.002    0.002 common.py:664(get_handle)
     7501    0.001    0.000    0.002    0.000 python_parser.py:1007(<genexpr>)
     3475    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     6968    0.001    0.000    0.001    0.000 fromnumeric.py:3471(_mean_dispatcher)
        3    0.001    0.000    0.001    0.000 python_parser.py:858(_remove_empty_lines)
        4    0.000    0.000    0.001    0.000 arrayprint.py:1652(_array_str_implementation)
        4    0.000    0.000    0.001    0.000 arrayprint.py:582(array2string)
        2    0.000    0.000    0.001    0.001 common.py:1165(_is_binary_mode)
     7501    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.001    0.000 arrayprint.py:527(wrapper)
        1    0.000    0.000    0.001    0.001 kmeans_profiling.py:110(_init_centroids)
        4    0.000    0.000    0.001    0.000 arrayprint.py:544(_array2string)
        1    0.000    0.000    0.001    0.001 common.py:1186(_get_binary_io_classes)
        1    0.000    0.000    0.001    0.001 _optional.py:85(import_optional_dependency)
        1    0.000    0.000    0.001    0.001 __init__.py:73(import_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      3/2    0.000    0.000    0.001    0.001 series.py:389(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.001    0.001 kmeans_profiling.py:388(_assign_clusters)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1495(_get_spec)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        4    0.000    0.000    0.001    0.000 arrayprint.py:806(_formatArray)
    136/4    0.000    0.000    0.001    0.000 arrayprint.py:815(recurser)
        1    0.000    0.000    0.001    0.001 distance.py:2649(cdist)
        1    0.000    0.000    0.001    0.001 series.py:607(_init_dict)
        1    0.001    0.001    0.001    0.001 {built-in method scipy.spatial._distance_pybind.cdist_sqeuclidean}
     3475    0.001    0.000    0.001    0.000 _function_base_impl.py:893(_copy_dispatcher)
        2    0.001    0.000    0.001    0.000 {built-in method _io.open}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        9    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 python_parser.py:74(__init__)
       10    0.000    0.000    0.000    0.000 base.py:7593(ensure_index)
       11    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.000    0.000 base.py:475(__new__)
     88/9    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
     88/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.000    0.000 python_parser.py:382(_infer_columns)
        2    0.000    0.000    0.000    0.000 python_parser.py:707(_next_line)
        7    0.000    0.000    0.000    0.000 construction.py:517(sanitize_array)
        1    0.000    0.000    0.000    0.000 python_parser.py:567(_header_line)
        1    0.000    0.000    0.000    0.000 python_parser.py:630(_buffered_line)
       92    0.000    0.000    0.000    0.000 arrayprint.py:779(_extendLine_pretty)
        1    0.000    0.000    0.000    0.000 construction.py:96(arrays_to_mgr)
        3    0.000    0.000    0.000    0.000 missing.py:101(isna)
        3    0.000    0.000    0.000    0.000 missing.py:184(_isna)
        1    0.000    0.000    0.000    0.000 series.py:5136(reindex)
        4    0.000    0.000    0.000    0.000 arrayprint.py:473(_get_format_function)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1305(argmin)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 generic.py:5343(reindex)
        1    0.000    0.000    0.000    0.000 common.py:304(_get_filepath_or_buffer)
        1    0.000    0.000    0.000    0.000 managers.py:2121(create_block_manager_from_column_arrays)
        3    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.000    0.000 series.py:5773(isna)
        1    0.000    0.000    0.000    0.000 generic.py:8693(isna)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 arrayprint.py:431(<lambda>)
