         4062204 function calls (4061955 primitive calls) in 7.712 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     68/2    0.000    0.000    0.000    0.000 arrayprint.py:815(recurser)
        2    0.000    0.000    0.000    0.000 arrayprint.py:473(_get_format_function)
       21    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 base.py:7593(ensure_index)
        1    0.000    0.000    0.000    0.000 python_parser.py:74(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:432(<lambda>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:939(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 arrayprint.py:966(fillFormat)
        3    0.000    0.000    0.000    0.000 base.py:475(__new__)
      236    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       11    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     88/9    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
     88/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 python_parser.py:382(_infer_columns)
        2    0.000    0.000    0.000    0.000 python_parser.py:707(_next_line)
        1    0.000    0.000    0.000    0.000 series.py:5136(reindex)
        7    0.000    0.000    0.000    0.000 construction.py:517(sanitize_array)
        1    0.000    0.000    0.000    0.000 python_parser.py:567(_header_line)
        1    0.000    0.000    0.000    0.000 python_parser.py:630(_buffered_line)
        1    0.000    0.000    0.000    0.000 generic.py:5343(reindex)
        3    0.000    0.000    0.000    0.000 missing.py:101(isna)
        3    0.000    0.000    0.000    0.000 missing.py:184(_isna)
        1    0.000    0.000    0.000    0.000 common.py:304(_get_filepath_or_buffer)
        3    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.000    0.000 series.py:5773(isna)
        1    0.000    0.000    0.000    0.000 construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.000    0.000 generic.py:8693(isna)
      237    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     10/9    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       41    0.000    0.000    0.000    0.000 arrayprint.py:1021(<genexpr>)
      237    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       22    0.000    0.000    0.000    0.000 _function_base_impl.py:897(copy)
       19    0.000    0.000    0.000    0.000 fromnumeric.py:1208(argmax)
        1    0.000    0.000    0.000    0.000 _compiler.py:745(compile)
        2    0.000    0.000    0.000    0.000 generic.py:5598(<genexpr>)
       80    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.dragon4_positional}
        1    0.000    0.000    0.000    0.000 base.py:5651(identical)
       46    0.000    0.000    0.000    0.000 arrayprint.py:779(_extendLine_pretty)
       41    0.000    0.000    0.000    0.000 arrayprint.py:1016(<genexpr>)
       23    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 generic.py:6662(copy)
        3    0.000    0.000    0.000    0.000 cast.py:124(maybe_convert_platform)
        1    0.000    0.000    0.000    0.000 readers.py:1990(__exit__)
       40    0.000    0.000    0.000    0.000 arrayprint.py:1052(__call__)
        1    0.000    0.000    0.000    0.000 base.py:5552(equals)
        1    0.000    0.000    0.000    0.000 readers.py:1622(close)
        1    0.000    0.000    0.000    0.000 managers.py:2121(create_block_manager_from_column_arrays)
      236    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
        1    0.000    0.000    0.000    0.000 common.py:515(get_compression_method)
       19    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
        2    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 missing.py:466(array_equivalent)
        1    0.000    0.000    0.000    0.000 managers.py:2190(_form_blocks)
        1    0.000    0.000    0.000    0.000 common.py:131(close)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.000    0.000 _methods.py:50(_sum)
      237    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 numeric.py:2445(array_equal)
        1    0.000    0.000    0.000    0.000 range.py:137(__new__)
        2    0.000    0.000    0.000    0.000 managers.py:1863(from_array)
       50    0.000    0.000    0.000    0.000 generic.py:42(_instancecheck)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2781(max)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
       47    0.000    0.000    0.000    0.000 arrayprint.py:765(_extendLine)
        1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 python_parser.py:300(_exclude_implicit_index)
        3    0.000    0.000    0.000    0.000 generic.py:807(_set_axis)
        1    0.000    0.000    0.000    0.000 _compiler.py:578(_code)
